,A,E,F,H,I,K,L,M,N,T,V,W,X,Y,Z
AP1_0000,77,18,19,10,0,8,2,6,0,0,0,22,0,25,0
AP1_0001,64,43,58,80,0,21,80,15,71,0,0,35,0,1,48
AP1_0002,67,44,44,80,80,51,43,14,10,0,60,58,34,28,28
AP1_0003,80,38,43,80,80,41,23,6,0,0,0,24,0,27,0
AP1_0004,80,39,33,66,0,30,24,6,0,0,0,38,0,21,0
AP1_0005,67,44,52,80,80,39,80,20,80,0,6,76,32,28,47
AP1_0006,29,19,13,24,54,52,17,17,0,0,64,0,33,29,61
AP1_0007,67,19,32,10,80,40,17,6,0,0,70,55,33,28,74
AP1_0008,80,5,24,10,0,6,0,10,0,0,0,30,33,0,13
AP1_0009,80,5,21,10,0,20,0,7,0,0,0,37,0,28,0
AP1_0010,63,27,33,24,54,16,20,9,6,0,0,1,47,0,0
AP1_0011,80,26,44,80,80,52,21,5,0,0,6,36,0,28,0
AP1_0012,59,36,39,65,80,21,20,4,0,0,70,24,0,28,35
AP1_0013,80,29,29,80,80,30,26,13,10,0,0,43,47,28,0
AP1_0014,72,33,29,11,0,32,15,6,0,0,0,35,0,28,0
AP1_0015,67,31,59,80,80,27,26,23,10,0,70,46,33,38,13
AP1_0016,70,34,31,66,0,46,29,9,0,0,0,42,0,28,27
AP1_0017,70,21,47,75,80,37,21,7,0,0,70,36,0,28,0
AP1_0018,80,44,40,80,80,74,43,29,10,0,0,60,16,35,25
AP1_0019,67,40,51,80,80,44,38,7,0,0,66,35,0,29,35
AP1_0020,80,19,33,70,80,61,0,19,0,0,70,35,3,44,10
AP1_0021,67,44,45,80,80,35,80,24,72,0,0,74,47,47,1
AP1_0022,80,44,34,67,0,46,34,17,1,0,0,59,0,49,48
AP1_0023,80,10,32,10,80,61,0,9,0,0,70,13,33,0,13
AP1_0024,61,10,34,80,26,13,21,10,10,0,6,18,0,0,2
AP1_0025,79,44,40,80,80,40,29,14,10,0,0,54,47,28,0
AP1_0026,52,38,33,70,80,37,21,2,0,0,6,35,0,28,0
AP1_0027,67,34,35,70,80,19,23,6,5,0,66,37,47,28,35
AP1_0028,67,25,32,24,80,57,17,6,0,0,70,37,33,27,62
AP1_0029,80,26,37,80,62,44,26,7,0,0,0,44,0,29,0
AP1_0030,67,43,43,53,18,60,24,5,0,0,44,28,0,7,8
AP1_0031,70,30,43,80,80,63,21,7,0,0,66,38,0,28,0
AP1_0032,67,31,42,74,80,61,38,29,6,0,64,25,33,53,76
AP1_0033,80,15,24,0,80,10,17,10,0,0,70,36,33,28,76
AP1_0034,80,44,43,80,80,63,38,6,6,0,70,57,0,27,54
AP1_0035,80,27,36,19,0,28,17,12,0,0,66,35,2,37,0
AP1_0036,67,43,48,80,80,41,23,16,5,0,66,35,0,49,35
AP1_0037,80,24,49,80,44,14,21,5,0,0,70,37,0,7,8
AP1_0038,80,19,19,10,0,32,17,6,0,0,0,55,0,28,48
