,A,E,F,H,I,K,L,M,N,T,V,W,X,Y,Z
AP1_0000,36,1,1,4,0,1,0,0,0,0,0,0,0,11,0
AP1_0001,43,5,1,48,0,10,51,0,0,0,0,2,0,0,0
AP1_0002,69,3,0,38,80,25,0,0,0,15,34,6,15,11,0
AP1_0003,80,5,1,68,80,19,0,0,0,15,0,0,0,11,0
AP1_0004,73,5,2,54,0,11,0,0,0,12,0,4,0,10,0
AP1_0005,67,7,1,70,80,14,80,0,0,15,0,14,15,11,0
AP1_0006,19,0,0,10,56,14,0,0,0,3,0,0,7,0,0
AP1_0007,33,1,1,10,80,29,0,0,0,15,0,2,7,11,0
AP1_0008,78,1,0,5,0,2,0,0,0,0,0,2,7,0,0
AP1_0009,44,1,1,16,0,5,0,0,0,12,0,2,0,11,0
AP1_0010,28,3,1,16,56,10,0,0,0,15,0,0,20,0,0
AP1_0011,58,3,1,69,80,24,0,0,0,15,0,2,0,11,0
AP1_0012,26,2,1,31,80,9,0,0,0,15,0,2,0,11,0
AP1_0013,44,3,1,50,80,13,0,0,0,15,0,3,20,11,0
AP1_0014,34,2,1,17,0,7,0,0,0,0,0,2,0,11,0
AP1_0015,42,4,1,54,80,13,0,0,0,27,34,4,7,11,0
AP1_0016,38,3,1,32,0,12,0,0,0,0,0,2,0,11,0
AP1_0017,41,2,1,43,80,8,0,0,0,15,0,2,0,11,0
AP1_0018,79,4,1,67,80,30,0,0,0,15,0,29,11,11,0
AP1_0019,69,6,10,52,80,22,0,0,0,15,0,2,0,11,0
AP1_0020,43,2,1,51,80,28,0,0,0,17,0,2,0,11,0
AP1_0021,69,8,2,65,80,15,80,0,0,15,0,9,20,11,0
AP1_0022,47,6,1,31,0,18,0,0,0,0,0,2,0,15,0
AP1_0023,78,1,1,8,80,39,0,0,0,15,0,0,7,0,0
AP1_0024,28,1,0,36,24,5,0,0,0,12,0,0,0,0,0
AP1_0025,42,4,2,65,80,15,0,0,0,15,0,29,20,11,0
AP1_0026,30,2,0,27,80,6,0,0,0,15,0,2,0,11,0
AP1_0027,69,1,0,33,80,8,0,0,0,27,34,4,20,11,0
AP1_0028,69,2,1,18,80,35,0,0,0,15,0,2,7,11,0
AP1_0029,72,4,3,62,67,15,0,0,0,15,0,4,0,11,0
AP1_0030,69,4,1,47,13,29,0,0,0,3,0,2,0,1,0
AP1_0031,42,2,1,49,80,29,0,0,0,15,0,5,0,11,0
AP1_0032,43,2,1,42,80,26,29,0,0,3,0,2,7,11,0
AP1_0033,37,0,0,0,80,11,0,0,0,15,0,2,7,11,0
AP1_0034,77,8,1,57,80,37,29,0,0,15,0,4,0,11,0
AP1_0035,78,2,1,9,0,10,0,0,0,0,0,2,0,11,0
AP1_0036,33,3,1,54,80,16,0,0,0,15,0,2,0,11,0
AP1_0037,44,4,1,61,37,7,0,0,0,15,0,4,0,1,0
AP1_0038,36,1,1,8,0,6,0,0,0,0,0,2,0,11,0
AP1_0039,33,12,2,55,80,31,29,0,0,28,0,2,0,20,0
AP1_0040,48,2,1,11,56,35,0,0,0,3,0,2,7,11,0
AP1_0041,37,12,25,36,80,31,0,0,0,50,0,2,0,36,0
AP1_0042,32,1,1,12,56,8,0,0,0,5,0,0,7,11,0
AP1_0043,68,1,1,5,0,14,0,0,0,15,0,2,0,11,0
AP1_0044,69,2,1,49,80,14,0,0,0,15,0,2,0,11,0
AP1_0045,25,1,1,4,0,1,0,0,0,0,0,0,5,0,0
AP1_0046,37,1,1,1,0,6,0,0,0,0,0,2,0,11,0
AP1_0047,58,6,1,10,0,37,0,0,0,0,0,0,0,0,0
AP1_0048,17,2,0,52,43,9,80,0,0,15,0,0,20,0,0
AP1_0049,29,3,4,14,56,0,0,0,0,28,0,0,0,20,0
EP1_0000,29,24,30,64,80,12,0,0,0,79,0,7,0,11,0
EP1_0001,30,31,26,52,0,12,0,0,0,41,0,0,0,18,0
EP1_0002,30,49,39,56,43,22,0,0,0,65,0,7,20,32,0
EP1_0003,18,37,58,31,80,19,0,0,0,79,0,7,0,11,0
EP1_0004,23,37,31,44,0,13,0,0,0,47,0,0,0,0,0
EP1_0005,38,45,34,44,80,51,80,0,0,64,0,0,20,15,0
EP1_0006,28,39,30,38,56,19,0,0,0,60,0,2,0,18,0
EP1_0007,57,46,38,55,80,30,0,0,0,80,80,0,36,20,0
EP1_0008,24,40,56,59,80,50,0,0,0,67,0,0,0,18,0
EP1_0009,28,36,31,37,0,50,0,0,0,50,0,0,0,0,0
