,A,E,F,H,I,K,L,M,N,T,V,W,X,Y,Z
AP1_0000,55,0,0,3,0,5,0,0,0,0,0,0,0,0,0
AP1_0001,80,19,8,80,0,6,52,0,5,0,0,2,0,0,0
AP1_0002,80,5,8,80,80,16,0,0,2,10,42,2,28,0,0
AP1_0003,68,10,5,80,80,38,0,0,2,10,0,0,0,0,0
AP1_0004,80,5,5,75,0,12,0,0,2,0,0,2,0,0,0
AP1_0005,80,19,8,80,80,27,80,0,5,10,0,14,28,0,0
AP1_0006,16,0,0,8,55,36,0,0,0,10,0,0,0,0,0
AP1_0007,80,0,0,3,80,41,0,0,0,10,0,2,0,0,0
AP1_0008,80,0,0,3,0,5,0,0,0,0,0,2,0,0,0
AP1_0009,80,0,0,3,0,3,0,0,0,0,0,2,0,0,0
AP1_0010,68,5,8,8,55,1,0,0,0,10,0,0,36,0,0
AP1_0011,80,5,5,80,80,41,0,0,2,10,0,2,0,0,0
AP1_0012,19,2,0,72,80,26,0,0,0,10,0,0,0,0,0
AP1_0013,80,5,8,80,80,7,0,0,2,10,0,5,36,0,0
AP1_0014,80,5,0,10,0,10,0,0,0,0,0,2,0,0,0
AP1_0015,66,5,8,80,80,11,0,0,2,10,56,0,0,0,0
AP1_0016,61,13,8,75,0,11,6,0,0,0,0,2,0,0,0
AP1_0017,75,2,0,75,80,11,0,0,2,10,0,2,0,0,0
AP1_0018,80,19,8,80,80,61,6,0,2,10,0,18,28,5,0
AP1_0019,80,15,11,80,80,24,0,0,2,10,0,2,0,0,0
AP1_0020,80,0,11,64,80,70,0,0,0,10,0,2,0,0,0
AP1_0021,80,19,8,80,80,23,80,0,4,10,0,5,36,0,0
AP1_0022,80,15,8,62,0,23,6,0,0,0,0,2,0,10,0
AP1_0023,80,0,0,3,80,78,0,0,0,10,0,0,0,0,0
AP1_0024,62,0,5,80,25,0,0,0,2,0,0,0,0,0,0
AP1_0025,71,5,8,80,80,11,0,0,2,10,0,18,36,0,0
AP1_0026,65,5,5,77,80,11,0,0,0,10,0,2,0,0,0
AP1_0027,80,13,5,77,80,5,0,0,2,10,42,2,36,0,0
AP1_0028,80,1,0,8,80,78,0,0,0,10,0,2,0,0,0
AP1_0029,80,5,9,80,69,11,0,0,2,10,0,2,0,0,0
AP1_0030,80,10,5,57,11,79,0,0,2,10,0,2,0,0,0
AP1_0031,80,4,5,80,80,37,0,0,2,10,14,5,0,0,0
AP1_0032,80,1,0,68,80,79,28,0,2,10,0,2,0,1,0
AP1_0033,80,0,0,0,80,12,0,0,0,10,0,3,0,0,0
AP1_0034,70,15,5,80,80,79,28,0,2,10,0,2,0,0,0
AP1_0035,80,4,8,12,0,25,0,0,0,0,0,2,0,0,0
AP1_0036,80,5,5,80,80,32,0,0,0,10,0,2,0,0,0
AP1_0037,80,5,5,80,36,0,0,0,2,10,0,2,0,0,0
AP1_0038,70,0,0,3,0,10,0,0,0,0,0,2,0,0,0
AP1_0039,80,18,19,80,80,37,28,0,2,20,0,2,0,5,0
AP1_0040,80,0,0,3,55,79,0,0,0,10,0,2,0,0,0
AP1_0041,80,22,59,80,80,36,0,0,2,37,0,2,0,30,0
AP1_0042,77,0,0,8,55,33,0,0,0,10,0,0,0,0,0
AP1_0043,80,0,0,3,0,26,0,0,0,10,0,2,0,0,0
AP1_0044,80,4,5,80,80,29,0,0,2,10,0,2,0,0,0
AP1_0045,51,0,0,3,0,10,0,0,0,0,0,0,0,0,0
AP1_0046,80,0,0,0,0,10,0,0,0,0,0,2,0,0,0
AP1_0047,77,10,5,12,0,80,0,0,2,0,0,0,0,0,0
AP1_0048,76,18,8,80,44,8,80,0,5,10,0,0,36,0,0
AP1_0049,51,3,14,3,55,0,0,0,0,20,0,0,0,5,0
EP1_0000,30,64,79,80,80,6,6,0,0,80,0,3,0,0,0
EP1_0001,17,76,73,75,0,26,6,0,0,70,0,0,0,26,0
EP1_0002,51,80,80,80,44,11,6,0,0,80,0,3,36,30,0
EP1_0003,17,80,80,77,80,1,6,0,0,80,0,3,0,0,0
EP1_0004,17,80,80,80,0,26,6,0,0,70,0,0,0,0,0
EP1_0005,69,77,76,80,80,80,80,0,5,80,0,0,36,1,0
EP1_0006,53,80,73,80,55,26,6,0,0,50,0,0,0,26,0
EP1_0007,74,80,80,80,80,39,6,0,2,80,80,0,80,5,40
EP1_0008,44,80,80,80,80,80,6,0,0,80,0,0,0,4,0
EP1_0009,10,80,80,80,0,72,6,0,0,70,0,0,0,0,0
EP1_0010,71,80,80,80,80,2,6,0,0,80,0,18,0,30,0
EP1_0011,46,17,17,19,0,50,6,0,0,0,14,0,0,8,0
EP1_0012,80,72,78,80,80,0,80,0,5,80,0,0,36,29,0
EP1_0013,29,76,80,75,80,80,69,0,5,80,80,0,36,0,41
EP1_0014,69,80,80,80,80,57,80,0,5,80,38,0,80,0,58
EP1_0015,17,80,80,77,80,11,6,0,0,80,0,0,0,0,0
EP1_0016,17,80,80,80,80,79,6,0,0,80,56,3,0,13,0
EP1_0017,17,80,80,80,80,24,6,0,0,80,80,0,0,0,0
EP1_0018,56,77,64,80,80,0,6,0,0,80,0,3,0,0,0
EP1_0019,0,80,69,80,0,0,6,0,0,70,0,3,0,0,0
EP1_0020,16,19,8,77,80,8,6,0,0,10,0,3,0,0,0
EP1_0021,6,49,80,71,0,6,0,0,0,70,0,0,0,0,0
EP1_0022,29,80,80,80,80,0,6,0,0,80,0,0,0,35,0
EP1_0023,27,80,79,75,0,26,6,0,0,70,0,0,0,0,26
EP1_0024,48,80,80,80,55,26,6,0,0,80,0,0,0,4,0
EP1_0025,42,80,80,80,80,9,6,0,0,80,0,3,0,13,0
EP1_0026,80,49,16,80,80,26,80,0,5,80,0,0,36,3,0
EP1_0027,20,80,76,80,80,51,6,0,0,80,0,0,0,0,0
EP1_0028,57,80,80,80,0,79,6,0,2,70,80,0,0,30,40
EP1_0029,17,80,80,80,0,80,6,0,0,70,0,0,0,0,0
EP1_0030,32,76,75,16,55,37,6,0,0,68,0,0,0,0,0
EP1_0031,64,80,80,80,80,1,80,0,5,80,80,0,73,0,58
EP1_0032,71,77,71,80,0,79,69,0,5,70,0,2,28,30,0
EP1_0033,16,80,80,80,0,26,6,0,0,70,0,2,0,0,0
EP1_0034,5,3,14,3,0,27,0,0,0,70,0,0,0,0,0
EP1_0035,27,80,80,80,25,0,6,0,0,70,38,0,0,0,40
EP1_0036,5,47,75,8,0,35,6,0,0,70,0,0,0,0,0
EP1_0037,53,80,80,80,80,23,6,0,0,80,0,3,0,13,0
EP1_0038,18,80,80,80,36,10,6,0,0,80,0,3,0,0,0
EP1_0039,48,63,63,19,80,26,6,0,0,38,38,0,0,5,0
EP1_0040,17,80,80,80,0,62,6,0,0,70,0,5,0,0,0
EP1_0041,30,80,80,77,80,0,6,0,0,80,0,0,0,0,0
EP1_0042,49,76,79,80,0,10,6,0,0,70,0,3,0,0,0
EP1_0043,49,80,80,80,80,80,6,0,0,80,0,0,0,0,0
EP1_0044,80,80,80,80,80,10,80,0,5,80,80,2,0,30,0
EP1_0045,17,72,75,80,0,6,80,0,5,50,0,3,36,13,0
EP1_0046,34,48,26,80,44,1,6,0,0,80,0,0,12,0,0
EP1_0047,17,80,80,80,80,1,6,0,0,80,0,0,0,0,0
EP1_0048,52,77,80,77,0,11,6,0,0,70,0,3,0,13,0
EP1_0049,66,49,73,10,0,11,6,0,2,70,0,0,36,0,0
FP1_0000,17,26,80,80,25,26,0,0,0,80,0,3,0,0,0
FP1_0001,26,26,80,80,80,26,0,0,0,80,80,0,0,13,0
FP1_0002,19,5,20,75,0,0,0,0,0,0,0,0,0,0,0
FP1_0003,17,25,80,39,0,0,0,0,0,70,0,0,0,0,0
FP1_0004,12,26,80,80,0,0,0,0,0,70,0,3,0,0,0
FP1_0005,70,26,80,80,80,6,0,72,0,80,80,0,0,4,0
FP1_0006,17,26,59,80,80,25,0,0,0,27,14,0,0,30,0
FP1_0007,17,26,80,77,80,2,0,0,0,80,0,3,0,13,0
FP1_0008,17,26,80,80,80,17,0,0,0,80,56,2,0,0,0
FP1_0009,25,80,80,75,0,2,6,0,0,70,0,0,0,0,0
