,A,E,F,H,I,K,L,M,N,T,V,W,X,Y,Z
AP1_0000,78,7,0,0,0,16,6,0,0,0,0,29,0,26,0
AP1_0001,80,47,22,80,0,16,80,11,77,0,0,45,0,1,40
AP1_0002,80,47,22,80,80,56,45,16,23,0,60,75,43,29,11
AP1_0003,79,43,12,80,80,34,25,0,6,0,0,32,0,29,0
AP1_0004,80,43,12,80,0,34,26,0,5,0,0,53,0,23,1
AP1_0005,80,47,22,80,80,36,80,24,80,0,9,75,43,29,38
AP1_0006,17,7,0,0,54,80,21,30,1,0,61,0,18,28,56
AP1_0007,80,7,0,0,80,40,21,0,0,0,67,49,18,29,68
AP1_0008,80,0,0,0,0,8,0,2,0,0,0,42,18,0,16
AP1_0009,80,0,0,0,0,26,0,1,0,0,0,49,0,29,0
AP1_0010,71,39,16,0,54,0,18,2,12,0,3,1,62,0,0
AP1_0011,80,36,12,80,80,46,19,0,6,0,6,49,0,29,0
AP1_0012,54,25,0,80,80,32,24,0,1,0,67,33,0,29,13
AP1_0013,80,40,22,80,80,28,24,16,23,0,3,54,62,29,0
AP1_0014,80,33,3,0,0,48,19,0,0,0,0,49,0,29,0
AP1_0015,75,40,22,80,80,24,24,29,22,0,70,59,18,39,16
AP1_0016,61,39,16,80,0,48,27,11,0,0,0,57,0,29,4
AP1_0017,67,24,0,80,80,48,19,0,6,0,67,49,0,29,1
AP1_0018,80,47,22,80,80,66,45,33,23,0,3,78,28,36,2
AP1_0019,80,49,17,80,80,16,40,0,6,0,63,49,0,30,13
AP1_0020,80,5,0,80,80,76,0,17,0,0,67,49,0,42,13
AP1_0021,80,47,22,80,80,28,80,33,73,0,3,70,62,49,1
AP1_0022,80,46,16,51,0,48,38,8,6,0,0,53,0,50,40
AP1_0023,80,0,0,0,80,80,0,7,0,0,67,18,18,0,16
AP1_0024,50,14,18,80,26,0,19,0,23,0,6,23,0,0,4
AP1_0025,76,47,22,80,80,36,31,16,23,0,3,71,62,29,0
AP1_0026,64,43,7,80,80,48,23,0,0,0,6,49,0,29,0
AP1_0027,80,43,12,80,80,8,25,0,13,0,66,53,62,29,13
AP1_0028,80,9,0,0,80,76,21,0,0,0,67,49,18,29,58
AP1_0029,80,40,16,80,63,45,24,11,6,0,3,61,0,30,0
AP1_0030,80,43,12,64,17,56,26,0,6,0,48,39,0,7,11
AP1_0031,80,36,12,80,80,80,19,0,6,0,63,53,0,29,1
AP1_0032,80,17,2,80,80,62,40,37,12,0,61,33,18,54,70
AP1_0033,80,7,0,0,80,11,21,4,0,0,67,49,18,29,70
AP1_0034,80,43,12,80,80,74,40,0,12,0,67,53,0,29,47
AP1_0035,80,31,16,0,0,31,17,7,0,0,63,49,0,38,1
AP1_0036,80,43,12,80,80,48,25,12,6,0,63,49,0,50,13
AP1_0037,80,36,12,80,43,0,19,0,6,0,67,53,0,7,11
AP1_0038,80,7,0,0,0,48,21,0,0,0,0,49,0,29,40
AP1_0039,80,60,53,80,80,80,40,5,12,12,73,49,0,49,41
AP1_0040,80,7,0,0,54,80,21,1,0,0,57,27,18,26,68
AP1_0041,80,76,63,80,80,76,40,28,6,29,73,44,0,57,41
AP1_0042,75,0,0,0,54,76,0,13,0,0,57,7,18,26,16
AP1_0043,80,0,0,0,0,32,4,1,0,0,63,49,0,29,1
AP1_0044,80,36,18,80,80,38,19,0,6,0,21,49,0,29,8
AP1_0045,43,7,0,0,0,28,7,4,0,0,0,8,18,0,16
AP1_0046,80,7,0,0,0,48,21,0,0,0,0,49,0,29,40
AP1_0047,75,42,12,0,0,66,17,3,6,0,0,7,0,13,13
AP1_0048,78,47,22,80,37,40,80,16,80,0,3,36,62,0,40
AP1_0049,65,17,41,0,54,0,1,1,0,12,73,6,0,38,0
EP1_0000,54,80,78,80,80,38,44,17,11,80,13,60,0,30,40
EP1_0001,53,80,74,80,0,32,44,40,4,80,10,37,0,31,40
EP1_0002,70,80,80,80,37,48,45,46,18,80,13,66,62,61,40
EP1_0003,51,80,80,80,80,26,44,34,11,80,13,47,0,52,40
EP1_0004,51,80,80,80,0,34,44,29,11,80,10,26,0,20,40
EP1_0005,73,80,80,80,80,80,80,19,80,80,26,45,62,60,40
EP1_0006,80,80,74,80,54,35,44,61,5,63,58,42,0,52,40
EP1_0007,79,80,80,80,80,36,45,29,23,80,80,36,80,44,77
EP1_0008,62,80,80,80,80,80,45,63,11,80,13,32,0,54,40
EP1_0009,29,80,80,80,0,80,44,21,11,80,10,25,0,0,40
EP1_0010,68,80,80,80,80,8,44,46,11,80,13,80,0,57,40
EP1_0011,61,37,22,0,0,55,31,33,4,0,19,38,18,47,65
EP1_0012,80,80,80,80,80,0,80,55,80,80,13,40,62,54,40
EP1_0013,54,80,80,80,80,80,80,44,70,80,80,34,62,0,21
EP1_0014,75,80,80,80,80,70,80,17,80,80,23,36,80,0,77
EP1_0015,51,80,80,80,80,48,44,17,11,80,13,32,0,26,40
EP1_0016,53,80,80,80,80,80,44,30,11,80,80,60,0,52,11
EP1_0017,53,80,80,80,80,14,44,34,11,80,80,32,18,23,36
EP1_0018,67,75,64,80,80,2,44,34,11,80,13,63,0,29,40
EP1_0019,0,80,80,80,0,3,44,29,11,80,13,48,0,50,4
EP1_0020,52,47,22,80,80,42,44,24,11,0,3,60,0,29,40
EP1_0021,22,77,80,80,0,8,25,55,11,80,10,20,0,28,40
EP1_0022,54,80,80,80,80,0,44,46,11,80,13,49,0,66,38
EP1_0023,53,80,80,80,0,32,44,34,10,80,10,45,18,28,68
EP1_0024,59,80,80,80,54,46,44,67,11,80,76,32,0,77,40
EP1_0025,63,80,80,80,80,40,44,38,11,80,76,40,0,49,40
EP1_0026,80,73,28,80,80,32,80,41,80,80,12,68,62,37,41
EP1_0027,40,80,80,80,80,65,44,18,11,80,13,25,0,23,8
EP1_0028,71,80,80,80,0,62,45,37,22,80,80,48,18,59,77
EP1_0029,53,80,80,80,0,66,44,17,11,80,10,55,0,57,42
EP1_0030,22,80,70,0,54,80,44,46,4,80,80,19,0,28,40
EP1_0031,62,80,80,80,80,6,80,30,80,80,80,37,80,0,75
EP1_0032,76,80,80,80,0,80,80,51,77,80,13,61,43,77,40
EP1_0033,44,80,80,80,0,32,44,29,11,80,10,38,18,23,45
EP1_0034,13,25,41,0,0,32,21,5,0,80,10,0,0,0,40
EP1_0035,53,80,80,80,26,0,44,34,11,80,16,36,18,23,77
EP1_0036,13,63,74,0,0,65,15,32,0,80,10,0,0,37,2
EP1_0037,80,80,80,80,80,48,45,38,15,80,80,66,0,52,40
EP1_0038,44,80,80,80,43,48,44,52,11,80,80,52,0,0,12
EP1_0039,59,70,58,0,80,46,38,15,0,63,20,34,18,40,67
EP1_0040,48,80,80,80,0,80,44,46,11,80,13,34,0,28,40
EP1_0041,59,80,80,80,80,0,44,25,11,80,13,26,0,0,40
EP1_0042,70,80,78,80,0,48,44,35,11,80,13,66,0,52,40
EP1_0043,73,80,80,80,80,80,44,31,11,80,80,24,0,0,40
EP1_0044,80,80,80,80,80,3,80,27,80,80,80,65,18,57,67
EP1_0045,53,80,78,80,0,22,80,33,80,63,13,60,62,52,40
EP1_0046,27,74,49,80,37,6,43,12,18,80,13,27,19,23,3
EP1_0047,51,80,80,80,80,6,44,17,11,80,13,26,0,0,40
EP1_0048,77,80,80,80,0,48,44,34,11,80,13,66,0,52,40
EP1_0049,68,56,78,0,0,48,16,17,21,80,10,13,62,2,40
FP1_0000,53,73,80,80,26,32,23,63,11,80,10,60,0,55,0
FP1_0001,44,73,80,80,80,32,23,30,11,80,80,41,18,52,20
FP1_0002,36,45,32,80,0,0,23,33,11,0,0,20,0,23,0
FP1_0003,53,72,80,45,0,2,23,17,11,80,10,33,0,29,0
FP1_0004,32,73,80,80,0,0,23,34,11,80,10,60,0,26,0
FP1_0005,80,73,80,80,80,16,23,80,17,80,80,26,18,51,20
FP1_0006,53,69,60,80,80,32,18,28,1,10,69,29,18,57,16
FP1_0007,51,73,80,80,80,23,23,34,11,80,13,39,0,52,0
FP1_0008,53,73,80,80,80,26,23,34,11,80,80,59,18,52,10
FP1_0009,38,80,80,80,0,8,44,46,10,80,13,21,0,28,38
FP1_0010,39,71,70,0,17,32,23,46,9,80,80,21,18,28,20
FP1_0011,9,73,80,80,0,68,23,63,11,80,74,26,0,51,0
FP1_0012,0,53,78,0,0,0,7,17,9,80,10,0,0,0,0
FP1_0013,22,72,80,45,0,31,17,34,11,80,10,4,0,23,0
FP1_0014,53,73,80,80,26,32,23,39,11,80,10,41,0,28,0
FP1_0015,22,77,80,80,37,0,23,34,11,80,13,29,0,23,8
FP1_0016,53,73,80,80,26,0,23,17,11,80,10,58,0,0,0
FP1_0017,51,73,80,80,0,32,23,50,11,80,10,53,0,51,0
FP1_0018,59,73,80,80,80,0,23,17,11,80,13,26,0,0,0
FP1_0019,53,73,80,80,26,0,23,34,11,80,13,50,18,26,20
FP1_0020,53,73,80,80,80,46,23,63,11,80,13,37,18,51,20
FP1_0021,51,73,80,80,26,0,23,34,11,80,10,20,0,23,0
FP1_0022,39,69,53,80,80,32,24,13,18,80,13,26,0,23,0
FP1_0023,53,72,80,80,0,0,23,33,11,80,13,60,0,52,0
FP1_0024,53,73,70,80,80,36,23,58,11,80,80,35,0,80,0
FP1_0025,9,73,80,74,0,76,23,17,11,80,10,26,0,0,0
FP1_0026,53,73,80,80,26,0,23,25,11,80,10,29,0,2,0
FP1_0027,0,65,64,80,0,34,30,17,11,80,13,20,0,0,0
FP1_0028,44,61,64,0,80,10,10,17,9,80,80,49,18,29,20
FP1_0029,53,73,80,80,0,46,23,58,9,80,13,58,0,80,0
FP1_0030,53,73,80,80,0,32,23,56,11,80,29,20,18,32,20
FP1_0031,53,73,80,80,26,32,23,34,11,80,10,60,0,23,0
FP1_0032,52,73,80,80,37,0,23,46,11,80,22,60,0,61,0
FP1_0033,78,73,80,80,80,14,23,34,11,80,13,26,0,49,0
FP1_0034,80,73,80,80,26,6,23,17,11,80,10,73,0,0,0
FP1_0035,53,73,80,80,80,8,23,25,11,80,80,44,18,52,20
FP1_0036,22,49,78,14,0,4,18,33,10,22,10,11,0,23,0
FP1_0037,53,73,80,80,80,20,23,17,11,80,13,20,0,0,0
FP1_0038,53,73,80,80,80,32,23,17,11,80,80,26,18,0,20
FP1_0039,0,73,80,80,0,2,23,55,11,80,13,29,0,49,0
FP1_0040,53,73,80,80,0,32,23,34,11,80,10,58,0,23,1
FP1_0041,31,73,80,80,80,3,23,34,11,80,23,34,18,45,20
FP1_0042,53,73,80,80,80,0,23,46,11,80,13,33,0,38,0
FP1_0043,51,72,80,80,80,46,23,35,11,63,13,47,0,65,0
FP1_0044,54,73,80,80,80,46,23,25,11,80,13,60,0,33,0
FP1_0045,53,73,80,80,26,0,23,21,11,80,10,60,0,9,1
FP1_0046,53,73,80,80,80,0,23,54,11,80,22,60,0,57,0
FP1_0047,22,73,80,80,80,32,23,22,11,80,13,20,0,18,0
FP1_0048,37,80,80,80,0,34,23,22,17,80,13,12,0,21,0
FP1_0049,23,73,80,80,0,32,23,57,11,80,10,60,0,26,0
HP1_0000,51,73,80,80,80,0,23,17,11,80,80,26,18,9,20
HP1_0001,80,40,39,80,80,44,24,57,15,0,70,41,0,77,3
