,A,E,F,H,I,K,L,M,N,T,V,W,X,Y,Z
AP1_0000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0001,61,0,0,2,0,0,56,0,0,0,0,0,0,0,0
AP1_0002,10,0,0,0,80,0,0,0,0,0,30,0,0,0,0
AP1_0003,34,0,0,1,80,0,0,0,0,0,0,0,0,0,0
AP1_0004,18,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AP1_0005,42,0,0,2,80,0,80,0,0,0,0,0,0,0,0
AP1_0006,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
AP1_0007,39,0,0,1,80,0,0,0,0,0,0,0,0,0,0
AP1_0008,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0009,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0010,14,0,0,0,56,0,0,0,0,0,0,0,0,0,0
AP1_0011,22,0,0,1,80,0,0,0,0,0,0,0,0,0,0
AP1_0012,0,0,0,1,80,0,0,0,0,0,0,0,0,0,0
AP1_0013,15,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0014,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0015,4,0,0,1,80,0,0,0,0,0,30,0,0,0,0
AP1_0016,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1_0017,15,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0018,7,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0019,18,0,0,1,80,0,0,0,0,0,0,0,0,0,0
AP1_0020,4,0,0,1,80,0,0,0,0,0,0,0,0,0,0
AP1_0021,39,0,0,2,80,2,80,0,0,0,0,0,0,0,0
AP1_0022,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AP1_0023,34,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0024,12,0,0,0,24,0,0,0,0,0,0,0,0,0,0
AP1_0025,14,0,0,1,80,2,0,0,0,0,0,0,0,0,0
AP1_0026,3,0,0,0,80,0,0,0,0,0,0,0,0,0,0
AP1_0027,6,0,0,1,80,0,0,0,0,0,30,0,0,0,0
