,A,E,F,H,I,K,L,M,N,T,V,W,X,Y,Z
AP1_0000,77,0,0,0,0,15,0,0,0,0,0,19,0,12,0
AP1_0001,80,61,58,80,0,46,80,0,80,0,0,24,0,0,29
AP1_0002,80,61,58,80,80,57,80,0,80,0,57,79,16,12,4
AP1_0003,80,61,51,80,68,60,49,0,8,0,0,19,0,12,0
AP1_0004,80,61,50,80,0,22,51,0,11,0,0,24,0,0,0
AP1_0005,80,61,58,80,80,58,80,4,80,0,25,80,1,12,29
AP1_0006,16,0,0,0,50,47,11,43,3,0,41,1,79,9,71
AP1_0007,80,0,0,0,80,26,11,0,3,0,46,25,79,12,61
AP1_0008,80,0,4,0,12,4,0,5,0,0,0,24,79,0,44
AP1_0009,80,0,0,0,0,1,0,0,0,0,0,24,0,12,0
AP1_0010,68,61,58,0,50,33,54,0,70,0,20,2,1,0,0
AP1_0011,80,61,51,80,80,61,49,0,8,0,5,24,0,12,0
AP1_0012,62,20,10,80,80,25,46,0,4,0,46,19,0,12,2
AP1_0013,80,61,58,80,80,46,69,0,77,0,20,73,1,12,0
AP1_0014,80,50,22,0,0,22,33,0,3,0,0,24,0,12,0
AP1_0015,80,61,58,80,68,50,58,15,75,0,66,79,79,53,40
AP1_0016,64,61,58,80,0,46,71,0,0,0,0,34,0,12,0
AP1_0017,80,37,10,80,80,22,49,0,8,0,46,24,0,12,0
AP1_0018,80,61,58,80,80,80,80,15,80,0,20,80,1,38,0
AP1_0019,80,61,55,80,68,41,60,0,11,0,42,25,0,12,2
AP1_0020,80,0,10,80,80,47,0,27,0,0,46,24,20,12,32
AP1_0021,80,61,58,80,55,55,80,15,80,0,20,80,1,71,0
AP1_0022,80,61,58,64,0,55,51,15,27,0,0,38,0,64,29
AP1_0023,80,0,0,0,80,47,0,22,0,0,46,19,79,0,44
AP1_0024,67,0,50,80,30,31,49,0,77,0,5,14,0,0,11
AP1_0025,80,61,58,80,68,53,71,0,80,0,20,74,1,12,0
AP1_0026,74,61,28,80,80,22,49,0,4,0,5,24,0,12,0
AP1_0027,80,61,51,80,80,35,60,0,50,0,62,24,1,12,2
AP1_0028,80,0,10,0,80,47,11,0,3,0,46,24,79,12,61
AP1_0029,80,61,58,80,54,55,69,0,8,0,20,24,0,12,0
AP1_0030,80,61,50,80,38,80,51,0,8,0,39,24,0,12,26
AP1_0031,80,61,51,80,80,80,49,0,8,0,42,24,0,12,0
AP1_0032,80,0,17,80,80,47,60,43,11,0,41,21,79,21,73
AP1_0033,80,0,0,0,80,1,11,22,3,0,46,25,79,12,73
AP1_0034,80,61,50,80,80,56,60,0,11,0,46,25,0,12,44
AP1_0035,80,61,58,0,0,49,40,3,0,0,42,24,15,12,0
AP1_0036,80,61,51,80,80,73,49,15,44,0,42,24,0,60,2
AP1_0037,80,61,51,80,68,31,49,0,20,0,46,24,0,12,26
AP1_0038,80,0,0,0,0,22,11,0,3,0,0,25,0,12,29
AP1_0039,80,80,73,80,80,80,60,12,11,13,56,25,0,56,29
AP1_0040,80,0,0,0,50,47,11,5,3,0,39,19,79,12,61
AP1_0041,80,80,72,80,80,80,60,43,11,44,56,25,0,21,29
AP1_0042,68,0,0,0,50,42,11,23,0,0,39,7,79,12,44
AP1_0043,80,0,0,0,0,25,0,3,0,0,42,24,0,12,0
AP1_0044,80,61,54,80,80,59,49,0,8,0,5,24,0,12,2
AP1_0045,24,0,0,0,0,22,2,22,3,0,0,7,60,0,32
AP1_0046,80,0,0,0,0,22,11,0,3,0,0,25,0,12,29
AP1_0047,68,61,50,0,0,56,34,3,8,0,0,7,0,0,30
AP1_0048,80,61,58,80,24,48,80,0,80,0,20,62,1,0,29
AP1_0049,62,19,22,0,50,0,3,12,4,13,56,5,0,64,0
EP1_0000,65,80,80,80,80,45,66,0,34,80,34,75,0,12,36
EP1_0001,62,80,79,80,0,56,66,43,10,80,14,33,0,9,29
EP1_0002,74,80,80,80,24,53,80,43,80,80,34,80,1,47,36
EP1_0003,62,80,80,80,80,37,66,15,34,80,34,67,0,71,36
EP1_0004,62,80,80,80,13,60,66,15,34,80,14,55,0,44,36
EP1_0005,80,80,80,80,80,80,80,16,80,80,36,65,1,53,32
EP1_0006,80,80,79,80,50,56,66,76,10,80,53,30,0,57,33
EP1_0007,80,80,80,80,80,47,80,15,80,80,80,61,80,45,76
EP1_0008,70,80,80,80,80,80,80,58,38,80,34,61,0,21,36
EP1_0009,37,80,80,80,0,80,66,11,34,80,14,58,0,0,36
EP1_0010,70,80,80,80,68,36,66,43,34,80,34,80,0,21,36
EP1_0011,67,61,58,0,0,42,37,15,6,0,7,57,79,63,69
EP1_0012,80,80,79,80,80,31,80,50,80,80,34,64,1,80,36
EP1_0013,62,80,80,80,80,78,80,58,58,80,78,61,1,0,23
EP1_0014,80,80,80,80,80,65,80,0,80,80,41,61,80,0,76
EP1_0015,62,80,80,80,68,53,66,0,34,80,34,61,0,12,36
EP1_0016,62,80,80,80,68,80,66,18,34,80,80,75,0,71,22
EP1_0017,62,80,80,80,68,41,66,15,34,80,80,61,79,59,62
EP1_0018,70,80,73,80,68,33,66,15,34,80,34,80,0,12,36
EP1_0019,0,80,76,80,0,31,66,15,34,80,34,70,0,64,7
EP1_0020,56,61,58,80,80,52,66,4,34,0,20,75,0,12,29
EP1_0021,0,80,80,80,0,37,55,54,31,80,14,55,0,9,36
EP1_0022,62,80,80,80,80,31,66,43,34,80,34,75,0,21,36
EP1_0023,62,80,80,80,0,56,66,8,34,80,14,69,79,9,73
EP1_0024,31,80,80,80,50,56,66,80,34,80,78,61,0,80,40
EP1_0025,62,80,80,80,80,48,66,37,34,80,78,64,0,71,40
EP1_0026,80,73,61,80,80,58,80,16,80,80,20,80,1,21,36
EP1_0027,43,80,80,80,68,70,66,23,33,80,34,63,0,59,11
EP1_0028,80,80,80,80,0,78,80,23,78,80,80,66,79,69,76
EP1_0029,62,80,80,80,0,80,66,0,34,80,14,80,0,21,48
EP1_0030,18,80,74,0,38,80,66,43,6,80,78,45,0,9,33
EP1_0031,80,80,80,80,80,33,80,11,80,80,80,57,80,0,76
EP1_0032,80,80,79,80,0,78,80,50,70,80,34,67,1,65,33
EP1_0033,62,80,80,80,0,58,66,15,34,80,14,66,79,59,61
EP1_0034,0,19,22,0,0,25,11,8,3,80,14,1,0,0,36
EP1_0035,62,80,80,80,30,31,66,15,34,80,19,64,79,59,76
EP1_0036,0,44,80,0,0,58,32,43,12,80,14,0,0,35,7
EP1_0037,80,80,80,80,80,55,80,37,61,80,80,80,0,71,40
EP1_0038,41,80,80,80,55,55,66,51,34,80,80,67,0,0,9
EP1_0039,70,80,68,0,80,47,51,0,3,80,19,28,79,23,69
EP1_0040,50,80,80,80,0,78,66,43,34,80,34,61,0,9,36
EP1_0041,68,80,80,80,80,31,66,4,34,80,34,55,0,0,36
EP1_0042,71,80,80,80,0,55,66,18,34,80,34,80,0,71,29
EP1_0043,80,80,80,80,68,80,66,34,34,80,80,56,0,0,40
EP1_0044,80,80,80,80,80,31,80,8,80,80,80,38,79,21,69
EP1_0045,62,80,80,80,0,43,80,15,80,80,34,75,1,71,29
EP1_0046,33,80,29,80,12,24,80,15,67,80,34,58,0,59,7
EP1_0047,62,80,80,80,68,35,66,0,34,80,34,55,0,0,36
EP1_0048,74,80,80,80,0,55,66,15,34,80,34,80,0,71,36
EP1_0049,68,47,67,0,0,53,46,0,67,80,14,0,1,15,36
FP1_0000,62,80,80,80,30,56,55,58,31,80,14,74,0,68,7
FP1_0001,62,80,80,80,80,58,55,15,31,80,80,71,79,71,47
FP1_0002,18,61,62,80,0,31,55,15,31,0,0,55,0,59,0
FP1_0003,62,80,80,64,0,31,55,0,31,80,14,32,0,12,7
FP1_0004,13,80,80,80,0,33,55,15,31,80,14,74,0,59,7
FP1_0005,80,80,80,80,68,46,55,80,56,80,80,60,79,68,51
FP1_0006,62,80,68,80,68,34,46,43,4,19,52,19,79,21,40
FP1_0007,62,80,80,80,80,39,55,15,31,80,34,60,0,71,7
FP1_0008,62,80,80,80,68,55,55,15,31,80,80,71,79,71,24
FP1_0009,44,80,80,80,0,36,66,43,34,80,32,58,0,9,36
